[2026-06-18T09:28:46.060+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-18T09:28:46.253+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: extract.trigger_transform_dag manual__2026-06-18T08:52:46.047066+00:00 [queued]>
[2026-06-18T09:28:46.261+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: extract.trigger_transform_dag manual__2026-06-18T08:52:46.047066+00:00 [queued]>
[2026-06-18T09:28:46.262+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2026-06-18T09:28:46.279+0000] {taskinstance.py:2327} INFO - Executing <Task(TriggerDagRunOperator): trigger_transform_dag> on 2026-06-18 08:52:46.047066+00:00
[2026-06-18T09:28:46.291+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=8743) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-18T09:28:46.289+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'extract', 'trigger_transform_dag', 'manual__2026-06-18T08:52:46.047066+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/extract_dag.py', '--cfg-path', '/tmp/tmpd495carr']
[2026-06-18T09:28:46.292+0000] {standard_task_runner.py:63} INFO - Started process 8745 to run task
[2026-06-18T09:28:46.292+0000] {standard_task_runner.py:91} INFO - Job 11: Subtask trigger_transform_dag
[2026-06-18T09:28:46.369+0000] {task_command.py:426} INFO - Running <TaskInstance: extract.trigger_transform_dag manual__2026-06-18T08:52:46.047066+00:00 [running]> on host eb8f3b1d504f
[2026-06-18T09:28:46.471+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='extract' AIRFLOW_CTX_TASK_ID='trigger_transform_dag' AIRFLOW_CTX_EXECUTION_DATE='2026-06-18T08:52:46.047066+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-06-18T08:52:46.047066+00:00'
[2026-06-18T09:28:46.473+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-06-18T09:28:49.568+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:213 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.569+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:260 SyntaxWarning: invalid escape sequence '\d'
